電影ID,電影中文名,英譯,上映日期,片長,發行公司,IMDb分數,導演,演員,電影類型,分級
2688,哥雅畫作下的女孩,Goya’s Ghosts,上映日期：2008-07-11,片　　長：01時52分,發行公司：聯影／聯贏,IMDb分數：6.9,['米洛福曼(Milos Forman)'],"['布蘭卡波提羅(Blanca Portillo)', '哈維爾巴登(Javier Bardem)', '娜塔莉波曼(Natalie Portman)', '蘭迪奎德(Randy Quaid)', '史戴倫史柯斯嘉(Stellan Skarsgard)']",['劇情'],輔12級/PG12
2689,漢密爾頓凶宅,THE HAMILTONS,上映日期：2008-06-14,片　　長：01時26分,發行公司：學者,沒有評分,['布徹兄弟'],"['瑪凱琳佛金斯', '喬瑟夫麥克凱勒', '山謬查爾德']","['恐怖', '懸疑/驚悚']",限制級/R
2690,分裂幻象,THE LIVING AND THE DEAD,上映日期：2008-06-06,片　　長：01時23分,發行公司：學者,沒有評分,['賽門魯姆利'],"['李奧比爾', '羅傑洛伊派克']",['懸疑/驚悚'],限制級/R
2691,內衣小舖,LATE BLOOMERS,上映日期：2008-07-04,片　　長：01時30分,發行公司：華展,IMDb分數：7.1,['貝蒂娜奧波利'],['斯蒂芬妮格拉瑟'],"['劇情', '喜劇']",普遍級/G
2692,有錢真好,Mad  Money,上映日期：2008-08-01,片　　長：01時45分,發行公司：群體,IMDb分數：5.8,['凱莉柯瑞(Callie Khouri)'],"['皇后拉蒂法(Queen Latifah)', '黛安基頓(Diane Keaton)', '凱蒂荷姆斯(Katie Holmes)']","['犯罪', '喜劇']",保護級/P
2693,流星花園：皇冠的秘密,Hanadan：Final,上映日期：2008-08-29,片　　長：02時10分,發行公司：山水國際,IMDb分數：7.1,['石景康晴'],"['井上真央(Mao Inoue)', '松本潤', '藤木直人', '小栗旬(Shun Oguri)']","['劇情', '愛情']",普遍級/G
2694,澳大利亞,Australia,上映日期：2008-12-24,片　　長：02時45分,發行公司：福斯,IMDb分數：6.6,['巴茲魯曼(Baz Luhrmann)'],"['休傑克曼(Hugh Jackman)', '妮可基嫚(Nicole Kidman)']","['劇情', '愛情']",普遍級/G
2695,殺手沒有假期,In Bruges,上映日期：2008-08-29,片　　長：01時46分,發行公司：群體,IMDb分數：7.9,['馬丁麥多納 (Martin McDonagh)'],"['柯林法洛(Colin Farrell)', '雷夫范恩斯(Ralph Fiennes)', '布蘭登葛里森(Brendan Gleeson)']","['動作', '犯罪', '喜劇']",輔12級/PG12
2696,鬪茶,Tea Fight,上映日期：2008-08-01,片　　長：01時42分,發行公司：原創娛樂,IMDb分數：5.5,['王也民'],"['曾志偉(Eric Tsang)', '戶田惠梨香(Erika Toda)', '香川照之(Teruyuki Kagawa)', '張鈞甯', '周渝民(Vic Chou)']",['劇情'],普遍級/G
2697,瞳眼禁地,Five Across the Eyes,上映日期：2008-07-12,片　　長：01時34分,發行公司：學者,沒有評分,['葛瑞格史溫賽恩'],"['維若妮卡賈西亞', '珍妮佛巴奈特']","['恐怖', '懸疑/驚悚']",限制級/R
2698,在屋頂上流浪,Hallam Foe,上映日期：2008-09-05,片　　長：01時35分,發行公司：傳影互動,IMDb分數：7.0,['大衛麥肯錫(David Mackenzie)'],"['傑米貝爾(Jamie Bell)', '蘇菲亞梅爾(Sophia Myles)']",['劇情'],輔12級/PG12
2699,KERORO V.S KERORO天空大決戰,KERORO V.S KERORO,上映日期：2008-08-15,片　　長：01時47分,發行公司：曼迪,沒有評分,[''],"['大柴lou', '福田沙紀', '堀江由衣']",['動畫'],普遍級/G
2700,砂時計,Sands’ Chronicle,上映日期：2008-07-11,片　　長：02時01分,發行公司：龍祥,IMDb分數：6.3,['佐藤信介(Shinsuke Sato)'],"['池松壯亮(Sosuke Ikematsu)', '井坂俊哉', '松下奈緒', '夏帆(Kaho)']","['劇情', '愛情']",普遍級/G
2701,追火車日記,tricks,上映日期：2008-08-01,片　　長：01時36分,發行公司：聯影／聯贏,IMDb分數：7.1,['安卓賈基摩斯基(Andrzej Jakimowski)'],"['.Iwona Fornalczyk(.Iwona Fornalczyk)', '達米安吳(Damian Ul)', 'Ewelina Walendziak(Ewelina Walendziak)', 'Tomasz Sapryk(Tomasz Sapryk)', 'Rafał Guźniczak']",['劇情'],保護級/P
2702,羅丹薩的夜晚,Nights in Rodanthe,上映日期：2008-09-26,片　　長：01時36分,發行公司：華納兄弟,IMDb分數：6.0,['George Wolfe(George Wolfe)'],"['黛安蓮恩(Diane Lane)', '李察基爾(Richard Gere)']",['愛情'],普遍級/G
2703,他其實沒那麼喜歡妳,He's Just Not That Into You,上映日期：2009-02-13,片　　長：02時08分,發行公司：發行拳,IMDb分數：6.4,['肯瓦皮斯(Ken Kwapis)'],"['班艾佛列克(Ben Affleck)', '茱兒芭莉摩(Drew Barrymore)', '珍妮佛安妮斯頓(Jennifer Aniston)', '珍妮佛康納莉(Jennifer Connelly)', '賈斯汀隆(Justin Long)', '史嘉蕾喬韓森(Scarlett Johansson)']","['喜劇', '愛情']",輔12級/PG12
2704,女人不壞,Not All Women Are Bad,上映日期：2008-12-12,片　　長：01時43分,發行公司：山水娛樂,IMDb分數：5.0,['徐克'],"['桂綸鎂(Kwai Lun-mei)', '張雨綺(Kitty Zhang Yuqi)', '周迅(Xun Zhou)']","['喜劇', '愛情']",保護級/P
2705,漂浪青春,Drifting Flowers,上映日期：2008-08-15,片　　長：01時37分,發行公司：三映,IMDb分數：6.6,['周美玲'],"['房思瑜(Serena Fang)', '白芝穎', '陸弈靜(Lu Yi-ching)', '王學仁', '徐麗雯', '趙逸嵐']","['劇情', '愛情']",保護級/P
2706,我的哥哥是獨生子,My Brother Is an Only Child,上映日期：2008-08-01,片　　長：01時46分,發行公司：海鵬,IMDb分數：7.1,['丹尼歐里路查提(Daniele Luchetti)'],"['黛安佛蕾瑞(Diane Fleri)', '艾利歐傑曼諾(Elio Germano)', '里卡多史卡馬西奧(Riccardo Scamarcio)']","['劇情', '愛情']",輔12級/PG12
2708,交錯效應,THE AIR I BREATHE,上映日期：2008-09-05,片　　長：01時35分,發行公司：得藝,IMDb分數：6.9,['李志浩(Jieho Lee)'],"['布蘭登費雪(Brendan Fraser)', '莎拉蜜雪兒吉蘭(Sarah Michelle Gellar)', '凱文貝肯(Kevin Bacon)', '安迪賈西亞(Andy Garcia)', '佛瑞斯特懷特克(Forest Whitaker)', '茱莉蝶兒(Julie Delpy)']","['動作', '劇情', '愛情']",輔12級/PG12
2709,狐狸與我,The Fox and the Child,上映日期：2008-09-12,片　　長：01時32分,發行公司：前景娛樂,IMDb分數：7.0,['呂克賈蓋(Luc Jacquet)'],['Bertille Noël-Bruneau'],"['奇幻', '劇情']",普遍級/G
2710,小提琴革命曲,The Violin,上映日期：2008-08-15,片　　長：01時38分,發行公司：山水娛樂,IMDb分數：7.8,['法朗西斯柯瓦蓋斯(Francisco Vargas Quevedo)'],"['Gerardo TARACENA(Gerardo TARACENA)', 'Mario GARIBALDI(Mario GARIBALDI)', 'Don Ángel TAVIRA', 'Fermín MARTÍNEZ']",['劇情'],輔12級/PG12
2711,母親,kabei,上映日期：2008-08-08,片　　長：02時13分,發行公司：出品公司 三貝德　蜜蜂工房／優士電影發行,IMDb分數：7.6,['山田洋次(Yoji Yamada)'],"['志田未來(Mirai Shida)', '淺野忠信(Tadanobu Asano)', '坂東三津五郎', '吉永小百合', '壇玲']","['劇情', '溫馨/家庭']",普遍級/G
2712,少林少女,SHAOLIN GIRL,上映日期：2008-08-29,片　　長：01時47分,發行公司：三貝德出品、蜜蜂工房／海樂影業發行,IMDb分數：4.6,['本廣克行'],"['柴崎幸(Shibasaki Kou)', '江口洋介(Yosuke Eguchi)', '岡村隆史(Takashi Okamura)', '林子聰', '田啟文', '張雨綺(Kitty Zhang Yuqi)', '仲村徹']","['動作', '劇情', '喜劇']",輔12級/PG12
2713,愛在波蘭戰火時,KATYN,上映日期：2008-08-15,片　　長：02時00分,發行公司：海鵬,IMDb分數：7.1,['安德烈華依達(Andrzej Wajda)'],[''],"['劇情', '戰爭']",保護級/P
2714,我媽的新男友,My Mom’s New Boyfriend,上映日期：2008-08-01,片　　長：01時37分,發行公司：龍祥,IMDb分數：5.3,['喬治哥羅(George Gallo)'],"['柯林漢克斯(Colin Hanks)', '梅格萊恩(Meg Ryan)']","['劇情', '喜劇']",保護級/P
2715,哆啦A夢：大雄的新魔界大冒險,DORAEMON-The New Nobita’s Great Adventure into the Underworld,上映日期：2008-08-01,片　　長：01時52分,發行公司：堡壘電影／蜜蜂工房,沒有評分,['寺本幸代'],"['大原惠', '關智一', '嘉數由美', '木村昂', '千秋', '相武紗季']",['動畫'],普遍級/G
2716,裸愛,The Unknown Woman,上映日期：2008-08-29,片　　長：01時58分,發行公司：海鵬,IMDb分數：7.5,['吉賽佩托納托(Giuseppe Tornatore)'],"['克勞蒂亞潔里尼(Claudia Gerini)', '卡姍妮亞雷寶寶特(Ksenia Rappoport)', '皮耶法蘭西斯柯法維諾(Pierfrancesco Favino)', '米歇爾普拉西多']","['劇情', '懸疑/驚悚']",限制級/R
2717,歌舞青春3：畢業季,HIGH SCHOOL MUSICAL 3：SENIOR YEAR,上映日期：2008-10-24,片　　長：01時54分,發行公司：迪士尼,IMDb分數：4.5,[''],"['柴克艾弗隆(Zac Efron)', '艾希莉提絲黛爾', '凡妮莎哈登士']","['劇情', '音樂/歌舞']",普遍級/G
2718,魔幻奇緣,Death Defying Acts,上映日期：2008-09-05,片　　長：01時37分,發行公司：原創娛樂、新視紀整合行銷,IMDb分數：5.8,['姬蓮阿姆斯壯(Gillian Armstrong)'],"['凱薩琳麗塔瓊絲(Catherine Zeta-Jones)', '蓋皮爾斯(Guy Pearce)', '莎瑞絲羅娜(Soairse Ronan)', '提摩西司伯(Timothy Spall)']","['奇幻', '劇情', '愛情']",保護級/P
2719,巴黎心，楓葉情,Emotional,上映日期：2008-09-05,片　　長：01時39分,發行公司：大來,IMDb分數：6.1,['帕奧羅巴茲曼'],"['克里斯多夫柏麥(Christopher Plummer)', '蓋布瑞拜恩(Gabriel Byrne)', '麥斯馮西度(Max von Sydow)', '蘇珊莎蘭登(Susan Sarandon)']","['劇情', '愛情']",保護級/P
2720,當地球停止轉動,The Day the Earth Stood Still,上映日期：2008-12-12,片　　長：01時44分,發行公司：福斯,IMDb分數：5.5,['史考特戴瑞克森(Scott Derrickson)'],"['珍妮佛康納莉(Jennifer Connelly)', '凱西貝茲(Kathy Bates)', '基努李維(Keanu Reeves)', '傑登史密斯(Jaden Smith)']","['科幻', '劇情', '懸疑/驚悚']",普遍級/G
2721,鮮胎活剝,Inside,上映日期：2008-09-12,片　　長：01時27分,發行公司：大來／華展,IMDb分數：6.8,"['亞歷山德布思提羅', '茱莉恩莫瑞']","['愛莉森帕拉迪絲', '碧翠斯黛兒', '娜塔莉羅素']","['恐怖', '懸疑/驚悚']",限制級/R
2722,集結號,Assembly,上映日期：2008-08-01,片　　長：01時45分,發行公司：海樂,IMDb分數：7.3,['馮小剛'],"['胡軍(Hu Jun)', '張涵予(Hanyu Zhang)']",['戰爭'],輔12級/PG12
2723,頤和園,Summer Palace,上映日期：2008-08-15,片　　長：02時22分,發行公司：聯影／聯贏,IMDb分數：7.1,['婁燁'],"['郭曉冬', '郝蕾(Lei Hao)']","['劇情', '愛情']",限制級/R
2724,微笑標本,Melody’s Smile,上映日期：2008-09-19,片　　長：01時52分,發行公司：佳映,IMDb分數：6.4,['阿佛列德洛特(Alfred Lot)'],"['艾力克卡拉沃加(Eric Caravaca)', '吉爾斯萊勞奇(Gilles Lellouche)']","['恐怖', '懸疑/驚悚']",輔12級/PG12
2725,壞壞惹人愛,My Best Friend's Girl,上映日期：2008-11-14,片　　長：01時40分,發行公司：中環,IMDb分數：5.9,['霍華迪區(Howard Deutch)'],"['亞歷鮑德溫(Alec Baldwin)', '丹庫克(Dane Cook)', '傑森畢格斯(Jason Biggs)', '凱特哈德森(Kate Hudson)']","['喜劇', '愛情']",輔12級/PG12
2727,圍城,besieged city,上映日期：2008-10-09,片　　長：01時35分,發行公司：美亞娛樂發展股份有限公司,IMDb分數：6.7,['劉國昌'],"['陳一斐', '鄧德保', '黃孝恩', '黃溢豪', '蔣袓曼', '藍源瑋', '李日昇', '凌浩然', '施樂']","['劇情', '犯罪']",限制級/R
2728,棺材,The Coffin,上映日期：2008-08-21,片　　長：01時30分,發行公司：學者,沒有評分,['亞格差烏干騰(Ekachai Uekrongtham)'],"['亞萊特(Ananda Everingham)', 'MAMEE(MAMEE)', '莫文蔚']","['恐怖', '懸疑/驚悚']",輔12級/PG12
2729,囧男孩,Orz Boyz,上映日期：2008-09-05,片　　長：01時43分,發行公司：華納,IMDb分數：7.2,['楊雅喆(YANG Ya-Che)'],"['李冠毅', '馬志翔', '梅芳', '潘親御', '阮經天', '徐啟文']","['劇情', '勵志']",普遍級/G
2730,大劊人心,Funny Games,上映日期：2008-09-05,片　　長：01時51分,發行公司：威視,IMDb分數：6.5,['麥可漢內克(Michael Haneke)'],"['麥可彼特(Michael Pitt)', '娜歐蜜華茲(Naomi Watts)', '提姆羅斯(Tim Roth)']","['劇情', '恐怖', '懸疑/驚悚']",限制級/R
2732,比佛利拜金狗,Beverly Hills Chihuahua,上映日期：2008-11-21,片　　長：01時31分,發行公司：博偉,IMDb分數：3.7,['雷賈高斯奈'],"['安迪賈西亞(Andy Garcia)', '潔美李寇蒂斯(Jamie Lee Curtis)', '茱芭莉摩']","['冒險', '喜劇']",普遍級/G
2733,麥斯‧潘恩,Max Payne,上映日期：2008-10-17,片　　長：01時40分,發行公司：福斯,IMDb分數：5.4,['約翰摩爾(John Moore)'],"['馬克華柏格(Mark Wahlberg)', '克里斯歐唐納(Chris O’Donnel)']","['動作', '劇情', '犯罪']",輔12級/PG12
2734,要命法則,WΔZ,上映日期：2008-09-05,片　　長：01時43分,發行公司：發行拳,IMDb分數：5.7,['湯姆夏克倫'],"['梅莉莎喬治(Melissa George)', '史戴倫史柯斯嘉(Stellan Skarsgard)', '艾許利華特斯']","['犯罪', '懸疑/驚悚']",限制級/R
2735,靈虐,Memory,上映日期：2008-08-15,片　　長：01時33分,發行公司：威視,沒有評分,['冬彭坦坎亨'],"['麥察蓉普拉', '亞萊特愛華']","['恐怖', '懸疑/驚悚']",輔12級/PG12
2736,跳水男孩,Dive!!,上映日期：2008-08-22,片　　長：01時55分,發行公司：龍祥,IMDb分數：7.0,['熊澤尚人'],"['瀨戶朝香(Asaka Seto)', '林遣都(Hayashi Kento)', '池松壯亮(Sosuke Ikematsu)', '溝端淳平']","['動作', '劇情']",保護級/P
2737,奪魂鋸5,Saw V,上映日期：2008-10-24,片　　長：01時32分,發行公司：中環,IMDb分數：5.8,['大衛海克爾(David Hackl)'],"['柯達斯曼迪洛(Costas Mandylor)', '薛妮史密斯(Shawnee Smith)', '托賓貝爾(Tobin Bell)']","['恐怖', '懸疑/驚悚']",限制級/R
2738,罪愛,Love & Other Crimes,上映日期：2008-09-19,片　　長：01時46分,發行公司：佳映,IMDb分數：6.2,['斯戴芬阿森尼葉維克(Stefan Arsenijevic)'],"['安妮卡杜芭(Anica Dobra)', '維克寇斯提克(Vuk Kostic)']",['劇情'],保護級/P
2739,我的機器人女友,Cyborg She,上映日期：2008-09-12,片　　長：02時00分,發行公司：山水,IMDb分數：7.0,['郭在容'],"['綾瀨遙(Haruka Ayase)', '小出惠介(Keisuke Koide)']","['喜劇', '愛情']",普遍級/G
2740,偽鈔風暴,The Counterfeiters,上映日期：2008-09-05,片　　長：01時38分,發行公司：聯影／聯贏,IMDb分數：7.6,['盧佐維斯基(Stefan Ruzowitzky)'],"['奧古斯特迪勒(August Diehl)', '大衛史崔索(Devid Striesow)', '卡爾馬克維斯(Karl Markovics)']",['劇情'],輔12級/PG12
2741,花吃了那女孩,Candy Rain,上映日期：2008-09-12,片　　長：01時45分,發行公司：紅色制作所,沒有評分,['陳宏一(Chen Hung-i)'],"['陳泱瑾', '高伊玲', '林嘉欣(Karena Lam)', '路嘉欣', '莫子儀', '孫正華', '王心凌', '魏如萱', '吳立琪', '辛佳穎', '許安安', '張榕容(Sandrine Pinna)']","['劇情', '愛情']",輔12級/PG12
2742,至尊對決,CASH,上映日期：2008-10-31,片　　長：01時38分,發行公司：學者,IMDb分數：6.0,['艾瑞克貝斯納(Eric Besnard)'],"['愛麗絲泰里昂妮(Alice Taglioni)', '尚雷諾(Jean Reno)', '薇拉莉葛琳諾(Valeria Golino)', '法蘭柯波蘭德']",['劇情'],保護級/P
2743,女郎我最兔,The House Bunny,上映日期：2008-10-17,片　　長：01時37分,發行公司：博偉,IMDb分數：5.5,['Fred Wolf(Fred Wolf)'],['安娜法瑞絲 (Anna Faris)'],['喜劇'],輔12級/PG12
2744,未來預想圖,The Signs Of Love,上映日期：2008-09-05,片　　長：01時55分,發行公司：海鵬,IMDb分數：6.0,['蝶野博'],"['松坂慶子', '松下奈緒', '西田尚美', '原田泰造', '竹財輝之助']","['劇情', '愛情']",普遍級/G
2745,武俠梁祝,Butterfly Lovers,上映日期：2008-10-09,片　　長：01時42分,發行公司：美亞娛樂發展股份有限公司,沒有評分,['馬楚成'],"['蔡卓妍(Charlene Choi)', '狄龍', '胡歌', '譚俊彥', '吳尊(Wu Chun)', '冼色麗', '熊欣欣', '庾澄慶']","['動作', '劇情', '愛情']",保護級/P
2746,鬼4虐,Phobia,上映日期：2008-09-19,片　　長：01時56分,發行公司：威視,IMDb分數：6.8,"['柏德潘', '班莊', '帕溫', '翁乙']",[''],"['劇情', '恐怖', '懸疑/驚悚']",輔12級/PG12
2747,凶鱷,ROGUE,上映日期：2008-09-26,片　　長：01時33分,發行公司：堡壘,IMDb分數：6.2,['葛格麥克林(Greg McLean)'],"['山姆沃辛頓(Sam Worthington)', '蕾哈蜜雪兒', '麥可瓦頓']",['懸疑/驚悚'],輔12級/PG12
2748,巴比倫密碼,Babylon A.D.,上映日期：2008-09-26,片　　長：01時30分,發行公司：福斯,IMDb分數：5.6,['馬修卡索維茲(Mathieu Kassovitz)'],"['夏綠蒂蘭普琳(Charlotte Rampling)', '傑哈德巴狄厄(Gérard Depardieu)', '楊紫瓊(Michelle Yeoh)', '馮迪索(Vin Diesel)']","['動作', '冒險']",保護級/P
2749,20世紀少年,20th Century Boys,上映日期：2008-10-17,片　　長：02時22分,發行公司：威視,IMDb分數：6.7,['堤幸彥(Yukihiko Tsutsumi)'],"['常盤貴子(Takako Tokiwa)', '唐澤壽明(Toshiaki Karasawa)', '豐川悅司(Toyokawa Etsushi)']","['動作', '冒險', '科幻']",輔12級/PG12
2750,魔鬼終結者：未來救贖,Terminator Salvation,上映日期：2009-05-27,片　　長：01時54分,發行公司：博偉,IMDb分數：6.6,['麥可基(McG)'],"['布萊絲達拉斯霍華(Bryce Dallas Howard)', '克里斯汀貝爾(Christian Bale)']",['動作'],保護級/P
2751,雷霆戰狗,Bolt,上映日期：2008-12-19,片　　長：01時36分,發行公司：迪士尼,IMDb分數：6.9,['克里斯威廉斯(Chris Williams)'],['(配音)約翰屈伏塔'],"['冒險', '動畫']",普遍級/G
2752,戰爭製造公司,"War, Inc.",上映日期：2008-09-05,片　　長：01時44分,發行公司：龍祥,IMDb分數：5.7,['喬書亞塞夫托(Joshua Seftel)'],"['班金斯利(Ben Kingsley)', '約翰庫薩克(John Cusack)', '梅莉莎托梅(Marisa Tomei)', '丹艾克洛德']","['劇情', '戰爭']",保護級/P
2753,愛在暹邏,The love of siam,上映日期：2008-09-19,片　　長：02時37分,發行公司：華映娛樂股份有限公司,IMDb分數：7.9,['Chukiat Sakweerakul(Chukiat Sakweerakul)'],"['Aticha Pongsilpipat(Aticha Pongsilpipat)', '庫曼文雅莎(Chermarn Boonyasak)', 'Kanya Rattanapetch(Kanya Rattanapetch)', '馬力歐慕瑞(Mario Maurer)', 'Sinjai Plengpanich(Sinjai Plengpanich)', 'Songsit Rungnopakunsri(Songsit Rungnopakunsri)', '薇諾娜瑞德(Winona Ryder)']","['劇情', '愛情']",保護級/P
2754,泡泡公寓4人行,The Bubble,上映日期：2008-09-19,片　　長：01時55分,發行公司：好好電影工作室、麗台影業,IMDb分數：7.3,['伊藤福克斯(Eytan FOX)'],"['亞隆福里曼(Alon Friedmann)', '丹妮拉威西(Daniela Wircer)', '歐哈克諾勒(Ohad Knoller)', ""約瑟夫史威德(Yousef 'Joe' Sweid)""]","['喜劇', '愛情']",輔12級/PG12
2755,突變末日,Mutant Chronicle,上映日期：2008-11-14,片　　長：01時51分,發行公司：發行拳,IMDb分數：5.2,['賽門韓特'],"['戴文青木(Devon Aoki)', '約翰馬可維奇(John Malkovich)', '朗帕曼(Ron Perlman)', '湯瑪斯傑恩(Thomas Jane)', '安娜沃爾頓']","['動作', '劇情']",輔12級/PG12
2756,異想天開,Igor,上映日期：2008-10-03,片　　長：01時26分,發行公司：發行拳,IMDb分數：6.0,['東尼李納多斯(Tony Leondls)'],"['克里斯汀史萊特(Christian Slater)', '約翰庫薩克(John Cusack)']","['冒險', '奇幻', '動畫']",普遍級/G
2757,天黑．夏午．闔家觀賞,,上映日期：2008-09-26,片　　長：01時22分,發行公司：好好電影工作室,沒有評分,"['張榮吉(Chang Jung-Chi)', '郭承衢', '何蔚庭']","['高英軒', '桂綸鎂(Kwai Lun-mei)', '柯奐如', '李天柱', '陸弈靜(Lu Yi-ching)', '張榕容(Sandrine Pinna)']","['劇情', '懸疑/驚悚', '愛情']",限制級/R
2758,熟男，我愛你,Sorry if I love you,上映日期：2008-09-12,片　　長：01時47分,發行公司：海鵬,IMDb分數：6.2,['費德瑞可莫恰(Federico Moccia)'],"['法蘭西斯科阿波隆尼(Francesco Apolloni)', '蜜琪拉廣托希歐奇(Michela Quattrociocche)', '雷歐波瓦(Raoul Bova)', '里卡多沙東尼(Riccardo Sardone)']","['喜劇', '愛情']",輔12級/PG12
2760,無野之城,CITY WITHOUT BASEBALL,上映日期：2008-10-03,片　　長：01時40分,發行公司：寬螢幕電影,IMDb分數：5.4,"['雲翔(Scud)', '劉國昌']","['曾健忠', '戴于程', '董敏莉', '梁宇聰', '林苑', '香子俊', '嚴維莎']",['劇情'],輔12級/PG12
2761,馬拉度納：庫斯杜力卡球迷日記,Maradona by Kusturica,上映日期：2008-09-26,片　　長：01時35分,發行公司：原子映象,IMDb分數：5.7,['庫斯杜力卡'],"['庫斯杜力卡', '馬拉度納']","['歷史/傳記', '勵志']",輔12級/PG12
2762,保持通話,Connected,上映日期：2008-09-26,片　　長：01時50分,發行公司：博偉,IMDb分數：6.7,['陳木勝'],"['徐熙媛(Barbie Hsu)', '古天樂(Louis Koo)', '劉燁', '張家輝(Nick Cheung)']","['動作', '犯罪', '懸疑/驚悚']",輔12級/PG12
2763,蘋果,,上映日期：2008-08-29,片　　長：01時52分,發行公司：群龍國際影視,沒有評分,['李玉'],"['范冰冰(Fan Bingbing)', '梁家輝(Tony Leung Ka Fai)', '佟大為']",['劇情'],限制級/R
2764,鷹眼,Eagle Eye,上映日期：2008-10-03,片　　長：01時57分,發行公司：夢工廠,IMDb分數：6.6,['卡魯索(D.J. Caruso)'],"['蜜雪兒莫娜漢 (Michelle Monaghan)', '西亞李畢福(Shia LaBeouf)']","['動作', '懸疑/驚悚']",保護級/P
2765,開麥拉驚魂,Tropic Thunder,上映日期：2008-10-31,片　　長：01時45分,發行公司：環球,IMDb分數：7.0,['班史提勒(Ben Stiller)'],"['班史提勒(Ben Stiller)', '比爾哈德爾(Bill Hader)', '傑克布萊克(Jack Black)', '尼克諾特(Nick Nolte)', '小勞勃道尼(Robert Downey Jr.)', '史蒂夫庫根(Steve Coogan)', '布蘭登傑克森', '丹尼麥布萊', '傑巴魯契']",['喜劇'],輔12級/PG12
2766,致命巧克力,Chocolate,上映日期：2008-09-26,片　　長：01時32分,發行公司：星空傳媒,IMDb分數：7.0,['巴猜平橋(Prachya Pinkaew)'],"['阿部寬(Hiroshi Abe)', '琴嘉(Jija Yanin)']","['冒險', '劇情']",輔12級/PG12
2767,上帝在我家,HENRY POOLE IS HERE,上映日期：2008-09-19,片　　長：01時38分,發行公司：龍祥,IMDb分數：6.5,['馬克培林頓(Mark Pellingyon)'],"['蕾達哈米契爾(Radha Mitchell)', '亞德莉安娜巴拉薩']",['劇情'],普遍級/G
2768,愛上壞女孩,Water Lilies,上映日期：2008-10-17,片　　長：01時25分,發行公司：中映,IMDb分數：6.7,['瑟琳席安瑪(Céline Sciamma)'],"['阿黛兒艾奈爾(Adèle Haenel)', '露意絲布拉雪兒(Louise Blachère)', '寶琳阿夸特(Pauline Acquart)']","['劇情', '愛情']",輔12級/PG12
2769,航海王 阿拉巴斯坦戰記：沙漠王女與海賊們,ONE PIECE Episode of alabaster,上映日期：2008-09-19,片　　長：01時30分,發行公司：日本東映動畫．蜜蜂工房／海樂影業發行,沒有評分,['今村隆寬'],"['大谷育江', '渡邊美佐', '岡村明美', '平田廣明', '山口勝平', '山口由里子', '中井和哉']","['冒險', '動畫']",普遍級/G
2770,布萊德彼特之即刻毀滅,BURN AFTER READING,上映日期：2008-09-26,片　　長：01時36分,發行公司：龍祥,IMDb分數：7.0,['柯恩兄弟(Joel Coen、Ethan Coen)'],"['布萊德彼特(Brad Pitt)', '法蘭西絲麥朵曼(Frances McDormand)', '喬治克隆尼(George Clooney)', '約翰馬可維奇(John Malkovich)', '蒂妲絲雲頓(Tilda Swinton)']","['劇情', '喜劇']",輔12級/PG12
2771,101夜情,Sex and Death 101,上映日期：2008-09-26,片　　長：01時57分,發行公司：威視,IMDb分數：6.0,[''],"['賽門貝克 (Simon Baker)', '薇諾娜瑞德(Winona Ryder)']","['喜劇', '愛情']",輔12級/PG12
2773,綠光,Le Rayon vert,上映日期：2008-09-26,片　　長：01時30分,發行公司：聯影／聯贏,IMDb分數：7.8,['艾力克‧侯麥(ÉRIC ROHMER)'],['瑪莉希維耶(Marie Rivière)'],['劇情'],普遍級/G
2774,靈魂與身體影展,Body Song,上映日期：2008-09-05,片　　長：未提供,發行公司：台北光點,沒有評分,[''],[''],[],未分類
2775,絕命尬車,Death Race,上映日期：2008-10-24,片　　長：01時45分,發行公司：環球,IMDb分數：6.4,['保羅安德森(Paul W.S. Anderson)'],"['伊恩麥克薛恩(Ian McShane)', '傑森史塔森(Jason Statham)']","['動作', '冒險']",輔12級/PG12
2776,玩命關頭4,Fast & Furious,上映日期：2009-04-17,片　　長：01時46分,發行公司：環球,IMDb分數：6.6,['林詣彬'],"['喬丹娜布魯斯特(Jordana Brewster)', '蜜雪兒羅莉葛茲(Michelle Rodriguez)', '保羅沃克(Paul Walker)', '馮迪索(Vin Diesel)']",['動作'],保護級/P
2777,三隻猴子,THREE MONKEYS,上映日期：2008-10-03,片　　長：01時44分,發行公司：海鵬,IMDb分數：7.4,['努瑞貝其錫蘭(Nuri Bilge Ceylan)'],"['艾爾森凱索(Ercan Kesal)', '哈提婕奧獅蘭(Hatice Aslan)', '尤烏斯賓各(Yavuz Bingöl)']",['劇情'],輔12級/PG12
2778,情留吉諾瓦,GENOVA,上映日期：2008-09-26,片　　長：01時33分,發行公司：山水娛樂,IMDb分數：6.1,['麥克溫特波頓(Michael Winterbottom)'],['柯林佛斯(Colin Firth)'],['劇情'],保護級/P
2779,華麗人生,GLOSS,上映日期：2008-10-03,片　　長：01時58分,發行公司：佳映,IMDb分數：5.5,['安德烈康查洛夫斯基(Andrei Konchalovsky)'],"['伊利亞伊薩耶夫(Ilya Isaev)', '艾瑞娜羅贊諾伐(Irina Rozanova)', '尤莉亞維索姿卡雅(Julia Vysotskaya)']",['劇情'],輔12級/PG12
